번호,단어,품사,뜻,예문,해석,빈도수
,,V,순회[순방]하다; 관광하다,[VN] He toured America with his one-man show.,그는 원맨쇼를 하며 미국을 순회했다.,
27,period,N,"기간, 시기(時期)",a period of consultation / mourning / uncertainty,상담[협의] 기간/애도 기간/불확실한 시기,54
,,adj,"시대의, 시대적인(특정 시대의 양식을 보여주는)",period costumes / furniture,시대적인 의상/가구,
28,anything,대명사,"무엇, 아무것(부정문과 의문문에서 if/whether 뒤에서, prevent, ban, avoid 같은 동사 뒤에서 something 대신에 쓰임)",Would you like anything else?,다른 거 뭐 드릴까요?,54
29,technology,N,(과학) 기술,science and technology,과학 기술,54
31,focus,V,(관심노력 등을) 집중하다[시키다],[V] The discussion focused on three main problems.,그 논의는 세 가지 주요 문제에 집중했다.,52
,,N,(관심흥미 등의) 초점[중심]; 주목,It was the main focus of attention at the meeting.,그 회의에서는 그것이 관심의 주된 초점이었다.,
32,online,adj,온라인의,Online shopping is both cheap and convenient.,온라인 쇼핑은 값도 싸고 편리하기도 하다.,51
33,concept,N,개념,the concept of social class,사회 계층(이라는) 개념,50
34,percentage,N,"백분율, (백분율로 나타낸) 비율; 퍼센트",What percentage of the population is / are overweight?,인구 중 어느 정도의 비율[퍼센트]이 과체중인가요?,50
35,detail,N,(작고 덜 중요한) 세부 사항[세목],an expedition planned down to the last detail,마지막 세부 항목 하나까지 다 계획을 세워서 하는 원정,50
,,V,상세히 알리다[열거하다],The brochure details all the hotels in the area and their facilities.,그 안내 책자에 그 지역에 있는 모든 호텔과 시설이 상세히 나와 있다.,
36,production,N,"(식품·상품·자재의, 특히 대량) 생산","wheat/oil/car, etc. production",밀/석유/자동차 생산 등,50
37,demand,N,(강력히 요청하는) 요구 (사항),a demand for higher pay,임금 인상 요구,50
,,V,"요구하다; 강력히 묻다, 따지다",[VN] She demanded an immediate explanation.,그녀는 즉각적인 해명을 요구했다.,
38,response,N,"대답, 응답, 회신, 답장",She made no response.,그녀는 아무 대답이 없었다.,49
39,percent,N,"[U] 퍼센트, 백분 ((기호 %; 略 p.c., per ct.))",5percent,"100분의 5, 5퍼센트",49
,,adj,"[숫자와 함께] …퍼센트의, 백분의",get five(-)percent interest,5퍼센트의 이자를 받다,
,,adv,[숫자와 함께] …퍼센트만큼,I agree with you a hundred percent.,당신 의견에 전적으로 동의합니다.,
40,emotion,N,(희로애락의) 감정; 정서,He lost control of his emotions.,그는 감정을 억제하지를 못했다.,48
41,reduce,V,(규모·크기·양 등을) 줄이다[축소하다]; (가격 등을) 낮추다[할인/인하하다],Reduce speed now.,(도로 표지판에서) 속도를 줄이시오.,47
42,negative,adj,"부정적인, 나쁜",The crisis had a negative effect on trade.,그 위기가 무역에 부정적인 영향을 미쳤다.,47
,,N,"부정, 거부, 부인; 부정문",(격식) She answered in the negative.,그녀는 아니라고 대답했다.,
,,V,(제안요청을) 거부[거절]하다,,,
43,action,N,"(어떤 목적이나 문제 해결을 위한) 행동, 조치",The time has come for action if these beautiful animals are to survive.,이 아름다운 동물들이 살아남게 하려면 행동을 취해야 할 때가 되었다.,47
,,V,확인 조치하다,Your request will be actioned.,귀하의 요청에 대해서 확인 조치하겠습니다.,
44,thought,N,(특정한) 생각,I don’t like the thought of you walking home alone.,난 네가 혼자 집으로 걸어간다는 그 생각이 마음에 안 들어.,46
45,Sentence,N,"문장(영어 문장은 대문자로 시작하고, 마침표나 물음표나 느낌표로 끝난다.)",a jail/prison sentence,징역형,46
,,V,(형을) 선고하다,[VN] to be sentenced to death / life imprisonment / three years in prison,사형/종신형[무기징역]/징역 3년형을 선고받다 [also VN to inf],
46,brand,N,"상표, 브랜드",Which brand of toothpaste do you use?,치약은 어떤 상표를 쓰세요?,46
,,V,(특히 부당하게) 낙인을 찍다,[VN] They were branded as liars and cheats.,그들에게는 거짓말쟁이에 사기꾼이라는 낙인이 찍혀 있었다.,
47,issue,N,"(논의논쟁의 중요한) 주제[안건], 쟁점, 사안",a key/sensitive/controversial issue,핵심/민감한/논란이 많은 쟁점,46
,,V,발표[공표]하다,They issued a joint statement denying the charges.,그들은 그 혐의를 부인하는 합동 성명을 발표했다.,
48,choice,N,선택(하는 행동),women forced to make a choice between family and career,가족과 일[직장] 사이에서 선택을 강요당하는 여성들,46
,,adj,"아주 질 좋은, 고급의",,,
49,specific,adj,"구체적인, 명확한, 분명한",I gave you specific instructions.,내가 당신에게 명확한 지시를 내렸었다.,45
50,feature,N,"특색, 특징, 특성",An interesting feature of the city is the old market.,그 도시의 재미있는 특색 중 하나가 재래시장이다.,45
,,V,"특별히 포함하다, 특징으로 삼다",The film features Cary Grant as a professor.,그 영화에는 특히 캐리 그랜트가 교수로 나온다.,
51,element,N,"요소, 성분",Cost was a key element in our decision.,비용이 우리 결정에 있어서 핵심 요소였다.,44
52,visual,adj,"시각의, (눈으로) 보는",I have a very good visual memory.,나는 시각적인[눈으로 본 것을 기억하는] 기억력이 아주 좋다.,44
,,N,시각 자료,He used striking visuals to get his point across.,그는 자신의 논점을 이해시키기 위해 인상적인 시각 자료들을 사용했다.,
53,improve,V,"개선되다, 나아지다; 개선하다, 향상시키다",[V] His quality of life has improved dramatically since the operation.,수술 후에 그의 삶의 질이 극적으로 개선되었다.,44
54,personal,adj,(소유·관련성이) 개인의[개인적인],personal effects/belongings/possessions,개인 물품들[소지품들],44
55,Now,adv,"지금, 이제",Where are you living now?,지금은 어디 사세요?,43
,,접속사,이제 …이니[이므로],Now that the kids have left home we’ve got a lot of extra space.,이제 아이들이 집을 떠났으므로 우리가 여분의 공간이 많아졌다.,
56,complex,adj,복잡한,complex machinery,복잡한 기계(장치),43
,,N,"복합 건물, (건물) 단지",a sports complex,스포츠 복합 건물,
57,expert,N,전문가,a computer / medical expert,컴퓨터/의학 전문가,43
,,adj,"전문가의, 전문적인; 숙련된",to seek expert advice/an expert opinion,전문가의 조언/의견을 구하다,
58,website,N,웹사이트(기업·단체·개인이 정보를 올릴 수 있는 홈페이지),I found this information on their website.,나는 이 정보를 그들의 웹사이트에서 찾았다.,42
59,worker,N,"(특정한 종류의 일을 하는) 노동자, (…한) 일을 하는 사람",farm / factory / office workers,농장/공장/사무직 노동자,42
60,claim,V,(…이 사실이라고) 주장하다,[V (that)] He claims (that) he was not given a fair hearing.,그는 자신에게 말할 기회를 공평하게 주지 않았다고 주장한다.,42
,,N,주장,The singer has denied the magazine’s claim that she is leaving the band.,그 가수는 자기가 밴드를 떠날 거라는 그 잡지의 주장을 부인했다.,
61,involve,V,(중요 요소로·필연적으로) 수반[포함]하다,[VN] Any investment involves an element of risk.,어떤 것이든 투자에는 위험 요소가 수반된다.,42
62,image,N,(개인·기관·상품 등이 대중에게 주는) 이미지[인상],His public image is very different from the real person.,그의 대중적 이미지는 실제 인물과 아주 다르다.,42
63,exist,V,존재[실재/현존]하다,Does life exist on other planets?,다른 행성들에도 생명체가 존재할까?,42
64,task,N,"(특히 힘든하기 싫은) 일, 과업, 과제",to perform/carry out/complete/undertake a task,과업[과제]을 이행하다/수행하다/완수하다/떠맡다,42
,,V,(~에게) 과업[과제]을 맡기다[주다],,,
65,average,adj,평균의,an average rate/cost/price,평균 비율/비용/가격,41
,,N,평균,"The average of 4, 5 and 9 is 6.","4, 5, 9의 평균은 6이다.",
,,V,평균 …이 되다,Economic growth is expected to average 2% next year.,내년에는 경제 성장이 평균 2%로 예상된다.,
66,impact,N,"(강력한) 영향, 충격",the environmental impact of tourism,관광이 환경에 미치는 영향,41
,,V,영향[충격]을 주다,[V] Her father’s death impacted greatly on her childhood years.,아버지의 죽음은 그녀의 어린 시절에 큰 영향을 미쳤다.,
67,influence,N,영향,to have/exert a strong influence on sb,…에게 강한 영향을 미치다,41
,,V,(사람의 행동사고에) 영향을 주다[미치다],[VN] His writings have influenced the lives of millions.,그의 글은 수백만 명의 삶에 영향을 주어 왔다.,
68,function,N,(사람사물의) 기능,to fulfil/perform a function,기능을 (수행)하다,41
,,V,(제대로) 기능하다[작용하다],"Despite the power cuts, the hospital continued to function normally.",정전에도 불구하고 병원의 기능은 계속 정상적으로 수행되었다.,
69,associate,V,"연상하다, 결부[연관]짓다",I always associate the smell of baking with my childhood.,나는 빵 굽는 냄새를 맡으면 항상 어린 시절이 연상된다.,40
